,ds,y
11550,2019-01-02,54.06
11551,2019-01-03,54.06
11552,2019-01-04,53.23
11553,2019-01-05,55.64
11555,2019-01-07,57.1
11556,2019-01-08,57.1
11557,2019-01-09,56.91
11558,2019-01-10,59.46
11559,2019-01-11,60.47
11560,2019-01-12,59.24
11562,2019-01-14,58.8
11563,2019-01-15,58.8
11564,2019-01-16,58.65
11565,2019-01-17,59.81
11566,2019-01-18,59.85
11567,2019-01-19,62.04
11569,2019-01-21,62.18
11570,2019-01-22,62.18
11571,2019-01-23,60.9
11572,2019-01-24,61.05
11573,2019-01-25,61.09
11574,2019-01-26,61.49
11576,2019-01-28,59.71
11577,2019-01-29,59.71
11578,2019-01-30,60.98
11579,2019-01-31,61.89
11580,2019-02-01,62.46
11581,2019-02-02,61.86
11583,2019-02-04,62.26
11584,2019-02-05,62.26
11585,2019-02-06,61.67
11586,2019-02-07,62.22
11587,2019-02-08,61.01
11588,2019-02-09,61.37
11590,2019-02-11,61.3
11591,2019-02-12,61.3
11592,2019-02-13,62.58
11593,2019-02-14,63.27
11594,2019-02-15,64.0
11595,2019-02-16,65.65
11597,2019-02-18,66.41
11598,2019-02-19,65.86
11599,2019-02-20,66.82
11600,2019-02-21,66.91
11601,2019-02-22,66.91
11604,2019-02-25,64.02
11605,2019-02-26,64.51
11606,2019-02-27,65.55
11607,2019-02-28,65.03
11608,2019-03-01,63.71
11611,2019-03-04,64.44
11612,2019-03-05,64.24
11613,2019-03-06,64.51
11614,2019-03-07,64.82
11615,2019-03-08,65.66
11618,2019-03-11,65.06
11619,2019-03-12,65.33
11620,2019-03-13,65.89
11621,2019-03-14,66.18
11622,2019-03-15,66.11
11625,2019-03-18,66.65
11626,2019-03-19,67.13
11627,2019-03-20,68.35
11628,2019-03-21,68.3
11629,2019-03-22,66.29
11632,2019-03-25,67.37
11633,2019-03-26,67.51
11634,2019-03-27,67.35
11635,2019-03-28,66.08
11636,2019-03-29,67.93
11639,2019-04-01,69.08
11640,2019-04-02,69.68
11641,2019-04-03,69.21
11642,2019-04-04,69.8
11643,2019-04-05,69.93
11646,2019-04-08,71.12
11647,2019-04-09,71.02
11648,2019-04-10,71.63
11649,2019-04-11,71.3
11650,2019-04-12,71.57
11653,2019-04-15,70.9
11654,2019-04-16,70.74
11655,2019-04-17,71.14
11656,2019-04-18,70.71
11661,2019-04-23,74.39
11662,2019-04-24,73.59
11663,2019-04-25,74.94
11664,2019-04-26,71.03
11667,2019-04-29,71.22
11668,2019-04-30,72.19
11669,2019-05-01,72.01
11670,2019-05-02,70.56
11671,2019-05-03,71.95
11674,2019-05-06,71.95
11675,2019-05-07,70.98
11676,2019-05-08,71.09
11677,2019-05-09,70.61
11678,2019-05-10,71.63
11681,2019-05-13,72.35
11682,2019-05-14,72.53
11683,2019-05-15,73.09
11684,2019-05-16,74.7
11685,2019-05-17,73.94
11688,2019-05-20,73.21
11689,2019-05-21,72.94
11690,2019-05-22,71.94
11691,2019-05-23,68.37
11692,2019-05-24,67.98
11695,2019-05-27,67.98
11696,2019-05-28,70.19
11697,2019-05-29,70.64
11698,2019-05-30,69.55
11699,2019-05-31,66.78
11700,2019-06-01,63.16
11702,2019-06-03,63.16
11703,2019-06-04,63.56
11704,2019-06-05,62.14
11705,2019-06-06,62.77
11706,2019-06-07,64.1
11709,2019-06-10,64.31
11710,2019-06-11,63.56
11711,2019-06-12,61.66
11712,2019-06-13,63.28
11713,2019-06-14,63.13
11716,2019-06-17,62.56
11717,2019-06-18,63.35
11718,2019-06-19,62.85
11719,2019-06-20,65.44
11720,2019-06-21,65.99
11723,2019-06-24,65.16
11724,2019-06-25,66.24
11725,2019-06-26,66.85
11726,2019-06-27,66.78
11727,2019-06-28,67.52
11730,2019-07-01,65.1
11731,2019-07-02,62.72
11732,2019-07-03,63.53
11733,2019-07-04,63.62
11734,2019-07-05,64.23
11737,2019-07-08,64.89
11738,2019-07-09,64.3
11739,2019-07-10,66.41
11740,2019-07-11,67.64
11741,2019-07-12,66.65
11744,2019-07-15,66.86
11745,2019-07-16,65.87
11746,2019-07-17,63.67
11747,2019-07-18,60.7
11748,2019-07-19,61.04
11751,2019-07-22,61.96
11752,2019-07-23,62.28
11753,2019-07-24,63.83
11754,2019-07-25,63.47
11755,2019-07-26,62.46
11758,2019-07-29,62.29
11759,2019-07-30,62.55
11760,2019-07-31,64.07
11761,2019-08-01,62.9
11762,2019-08-02,61.12
11765,2019-08-05,59.32
11766,2019-08-06,58.63
11767,2019-08-07,55.03
11768,2019-08-08,56.29
11769,2019-08-09,57.37
11772,2019-08-12,57.13
11773,2019-08-13,59.9
11774,2019-08-14,57.86
11775,2019-08-15,57.37
11776,2019-08-16,59.0
11779,2019-08-19,59.79
11780,2019-08-20,59.03
11781,2019-08-21,60.6
11782,2019-08-22,59.81
11783,2019-08-23,58.64
11786,2019-08-26,58.64
11787,2019-08-27,58.44
11788,2019-08-28,60.42
11789,2019-08-29,60.59
11790,2019-08-30,61.04
11793,2019-09-02,58.55
11794,2019-09-03,57.93
11795,2019-09-04,60.68
11796,2019-09-05,62.7
11797,2019-09-06,61.28
11800,2019-09-09,63.99
11801,2019-09-10,64.67
11802,2019-09-11,63.02
11803,2019-09-12,60.76
11804,2019-09-13,61.25
11807,2019-09-16,68.42
11808,2019-09-17,65.59
11809,2019-09-18,64.29
11810,2019-09-19,64.25
11811,2019-09-20,65.23
11814,2019-09-23,64.66
11815,2019-09-24,64.13
11816,2019-09-25,62.41
11817,2019-09-26,62.08
11818,2019-09-27,62.48
11821,2019-09-30,60.99
11822,2019-10-01,60.06
11823,2019-10-02,57.92
11824,2019-10-03,58.01
11825,2019-10-04,59.13
11828,2019-10-07,59.46
11829,2019-10-08,58.14
11830,2019-10-09,59.7
11831,2019-10-10,59.08
11832,2019-10-11,60.59
11835,2019-10-14,58.81
11836,2019-10-15,59.19
11837,2019-10-16,59.3
11838,2019-10-17,59.35
11839,2019-10-18,59.96
11842,2019-10-21,58.95
11843,2019-10-22,60.5
11844,2019-10-23,60.52
11845,2019-10-24,61.71
11846,2019-10-25,62.06
11849,2019-10-28,60.39
11850,2019-10-29,61.05
11851,2019-10-30,60.22
11852,2019-10-31,59.3
11853,2019-11-01,60.17
11856,2019-11-04,62.52
11857,2019-11-05,62.72
11858,2019-11-06,62.11
11859,2019-11-07,62.6
11860,2019-11-08,62.0
11863,2019-11-11,62.58
11864,2019-11-12,62.19
11865,2019-11-13,62.27
11866,2019-11-14,62.46
11867,2019-11-15,63.32
11870,2019-11-18,62.82
11871,2019-11-19,62.37
11872,2019-11-20,63.8
11873,2019-11-21,64.99
11874,2019-11-22,64.83
11877,2019-11-25,64.67
11878,2019-11-26,64.82
11879,2019-11-27,65.03
11880,2019-11-28,64.68
11881,2019-11-29,64.5
11884,2019-12-02,63.2
11885,2019-12-03,62.95
11886,2019-12-04,65.25
11887,2019-12-05,65.67
11888,2019-12-06,66.5
11891,2019-12-09,66.44
11892,2019-12-10,66.57
11893,2019-12-11,65.37
11894,2019-12-12,66.67
11895,2019-12-13,67.44
11898,2019-12-16,68.04
11900,2019-12-18,69.12
11901,2019-12-19,69.7
11902,2019-12-20,68.66
11905,2019-12-23,67.49
11906,2019-12-24,69.26
11908,2019-12-26,69.26
11909,2019-12-27,68.91
11912,2019-12-30,68.3
11913,2019-12-31,67.77
11915,2020-01-02,67.05
11916,2020-01-03,69.08
11919,2020-01-06,70.25
11920,2020-01-07,68.74
11921,2020-01-08,67.31
11922,2020-01-09,66.58
11923,2020-01-10,66.77
11926,2020-01-13,64.14
11927,2020-01-14,64.45
11928,2020-01-15,63.29
11929,2020-01-16,64.63
11930,2020-01-17,64.05
11933,2020-01-20,64.63
11934,2020-01-21,63.66
11935,2020-01-22,62.11
11936,2020-01-23,61.26
11937,2020-01-24,59.34
11940,2020-01-27,58.54
11941,2020-01-28,59.37
11942,2020-01-29,59.46
11943,2020-01-30,57.72
11944,2020-01-31,57.77
11947,2020-02-03,54.0
11948,2020-02-04,53.9
11949,2020-02-05,55.36
11950,2020-02-06,55.18
11951,2020-02-07,54.53
11954,2020-02-10,53.39
11955,2020-02-11,54.0
11956,2020-02-12,55.54
